{'loss': 2.0911, 'grad_norm': 5.785200595855713, 'learning_rate': 9.920000000000002e-06, 'epoch': 0.04}
{'loss': 1.8662, 'grad_norm': 6.672329902648926, 'learning_rate': 9.84e-06, 'epoch': 0.08}
{'loss': 1.841, 'grad_norm': 5.563478469848633, 'learning_rate': 9.760000000000001e-06, 'epoch': 0.12}
{'loss': 1.82, 'grad_norm': 6.603244781494141, 'learning_rate': 9.68e-06, 'epoch': 0.16}
{'loss': 1.745, 'grad_norm': 6.93386173248291, 'learning_rate': 9.600000000000001e-06, 'epoch': 0.2}
{'loss': 1.8358, 'grad_norm': 5.9870123863220215, 'learning_rate': 9.52e-06, 'epoch': 0.24}
{'loss': 1.757, 'grad_norm': 6.331268310546875, 'learning_rate': 9.440000000000001e-06, 'epoch': 0.28}
{'loss': 1.7408, 'grad_norm': 4.707740306854248, 'learning_rate': 9.360000000000002e-06, 'epoch': 0.32}
{'loss': 1.7062, 'grad_norm': 5.813915252685547, 'learning_rate': 9.280000000000001e-06, 'epoch': 0.36}
{'loss': 1.7191, 'grad_norm': 5.343817710876465, 'learning_rate': 9.200000000000002e-06, 'epoch': 0.4}
{'loss': 1.7025, 'grad_norm': 5.883517265319824, 'learning_rate': 9.12e-06, 'epoch': 0.44}
{'loss': 1.7138, 'grad_norm': 5.167580604553223, 'learning_rate': 9.040000000000002e-06, 'epoch': 0.48}
{'loss': 1.7301, 'grad_norm': 6.895096778869629, 'learning_rate': 8.96e-06, 'epoch': 0.52}
{'loss': 1.7222, 'grad_norm': 5.092913627624512, 'learning_rate': 8.880000000000001e-06, 'epoch': 0.56}
{'loss': 1.7197, 'grad_norm': 4.389745235443115, 'learning_rate': 8.8e-06, 'epoch': 0.6}
{'loss': 1.6697, 'grad_norm': 7.049737930297852, 'learning_rate': 8.720000000000001e-06, 'epoch': 0.64}
{'loss': 1.6998, 'grad_norm': 4.432128429412842, 'learning_rate': 8.64e-06, 'epoch': 0.68}
{'loss': 1.6558, 'grad_norm': 4.955327033996582, 'learning_rate': 8.560000000000001e-06, 'epoch': 0.72}
{'loss': 1.659, 'grad_norm': 3.889341354370117, 'learning_rate': 8.48e-06, 'epoch': 0.76}
{'loss': 1.6482, 'grad_norm': 6.007124900817871, 'learning_rate': 8.400000000000001e-06, 'epoch': 0.8}
{'loss': 1.6161, 'grad_norm': 6.678225994110107, 'learning_rate': 8.32e-06, 'epoch': 0.84}
{'loss': 1.6259, 'grad_norm': 4.757007598876953, 'learning_rate': 8.24e-06, 'epoch': 0.88}
{'loss': 1.6267, 'grad_norm': 4.747682571411133, 'learning_rate': 8.16e-06, 'epoch': 0.92}
{'loss': 1.6951, 'grad_norm': 6.062472343444824, 'learning_rate': 8.08e-06, 'epoch': 0.96}
{'loss': 1.654, 'grad_norm': 4.377899646759033, 'learning_rate': 8.000000000000001e-06, 'epoch': 1.0}
{'eval_loss': 1.4386142492294312, 'eval_bleu': 28.5249, 'eval_gen_len': 12.385, 'eval_meteor': 0.5572, 'eval_runtime': 14.901, 'eval_samples_per_second': 13.422, 'eval_steps_per_second': 1.678, 'epoch': 1.0}
{'loss': 1.408, 'grad_norm': 5.833208084106445, 'learning_rate': 7.92e-06, 'epoch': 1.04}
{'loss': 1.4205, 'grad_norm': 5.396154403686523, 'learning_rate': 7.840000000000001e-06, 'epoch': 1.08}
{'loss': 1.4291, 'grad_norm': 7.266521453857422, 'learning_rate': 7.76e-06, 'epoch': 1.12}
{'loss': 1.4274, 'grad_norm': 5.637810230255127, 'learning_rate': 7.680000000000001e-06, 'epoch': 1.16}
{'loss': 1.4314, 'grad_norm': 4.704964637756348, 'learning_rate': 7.600000000000001e-06, 'epoch': 1.2}
{'loss': 1.4117, 'grad_norm': 5.624796390533447, 'learning_rate': 7.520000000000001e-06, 'epoch': 1.24}
{'loss': 1.4387, 'grad_norm': 4.93252420425415, 'learning_rate': 7.440000000000001e-06, 'epoch': 1.28}
{'loss': 1.398, 'grad_norm': 8.428054809570312, 'learning_rate': 7.360000000000001e-06, 'epoch': 1.32}
{'loss': 1.4127, 'grad_norm': 7.364628314971924, 'learning_rate': 7.280000000000001e-06, 'epoch': 1.36}
{'loss': 1.4362, 'grad_norm': 6.03603458404541, 'learning_rate': 7.2000000000000005e-06, 'epoch': 1.4}
{'loss': 1.4332, 'grad_norm': 5.740499973297119, 'learning_rate': 7.1200000000000004e-06, 'epoch': 1.44}
{'loss': 1.4197, 'grad_norm': 7.087905406951904, 'learning_rate': 7.04e-06, 'epoch': 1.48}
{'loss': 1.4168, 'grad_norm': 4.217529296875, 'learning_rate': 6.96e-06, 'epoch': 1.52}
{'loss': 1.3869, 'grad_norm': 4.917983055114746, 'learning_rate': 6.88e-06, 'epoch': 1.56}
{'loss': 1.4128, 'grad_norm': 5.33995246887207, 'learning_rate': 6.800000000000001e-06, 'epoch': 1.6}
{'loss': 1.3988, 'grad_norm': 5.98928689956665, 'learning_rate': 6.720000000000001e-06, 'epoch': 1.64}
{'loss': 1.4201, 'grad_norm': 6.481674671173096, 'learning_rate': 6.640000000000001e-06, 'epoch': 1.68}
{'loss': 1.4321, 'grad_norm': 6.211757183074951, 'learning_rate': 6.560000000000001e-06, 'epoch': 1.72}
{'loss': 1.4053, 'grad_norm': 6.039905071258545, 'learning_rate': 6.480000000000001e-06, 'epoch': 1.76}
{'loss': 1.4021, 'grad_norm': 3.972519874572754, 'learning_rate': 6.4000000000000006e-06, 'epoch': 1.8}
{'loss': 1.4049, 'grad_norm': 4.404269695281982, 'learning_rate': 6.3200000000000005e-06, 'epoch': 1.84}
{'loss': 1.3633, 'grad_norm': 6.1989922523498535, 'learning_rate': 6.24e-06, 'epoch': 1.88}
{'loss': 1.3697, 'grad_norm': 6.233440399169922, 'learning_rate': 6.16e-06, 'epoch': 1.92}
{'loss': 1.4291, 'grad_norm': 6.4355878829956055, 'learning_rate': 6.08e-06, 'epoch': 1.96}
{'loss': 1.423, 'grad_norm': 7.105843544006348, 'learning_rate': 6e-06, 'epoch': 2.0}
{'eval_loss': 1.3860807418823242, 'eval_bleu': 30.7407, 'eval_gen_len': 12.545, 'eval_meteor': 0.5504, 'eval_runtime': 10.8942, 'eval_samples_per_second': 18.358, 'eval_steps_per_second': 2.295, 'epoch': 2.0}
{'loss': 1.2401, 'grad_norm': 5.1252288818359375, 'learning_rate': 5.92e-06, 'epoch': 2.04}
{'loss': 1.211, 'grad_norm': 7.381907939910889, 'learning_rate': 5.84e-06, 'epoch': 2.08}
{'loss': 1.2469, 'grad_norm': 5.554359436035156, 'learning_rate': 5.76e-06, 'epoch': 2.12}
{'loss': 1.2419, 'grad_norm': 5.517675399780273, 'learning_rate': 5.68e-06, 'epoch': 2.16}
